Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),2 (AMP),,Time (s),M1,
Serial Number:,MY56272288,,-0.00050074375,0.733668819069862,0.230974648147821,,-0.00050074375,0.53011413209606,
Firmware Version:,02.41.2015102200,,-0.00050071775,0.773869831115007,0.222653040662408,,-0.00050071775,0.578942262916826,
Start Time:,2022-12-06 13:01:50.829,,-0.00050069175,0.773869831115007,0.222653040662408,,-0.00050069175,0.578942262916826,
,,,-0.00050066575,0.773869831115007,0.222653040662408,,-0.00050066575,0.578942262916826,
Analog Sample Count:,1000,,-0.00050063975,0.733668819069862,0.222653040662408,,-0.00050063975,0.538903195643798,
Function Sample Count:,1000,,-0.00050061375,0.773869831115007,0.230974648147821,,-0.00050061375,0.570153199369088,
Waveform Memory Sample Count:,0,,-0.00050058775,0.773869831115007,0.214331433176994,,-0.00050058775,0.586754763848148,
Digital Sample Count:,0,,-0.00050056175,0.773869831115007,0.230974648147821,,-0.00050056175,0.570153199369088,
,,,-0.00050053575,0.733668819069862,0.230974648147821,,-0.00050053575,0.53011413209606,
Setup Text Information:,,,-0.00050050975,0.733668819069862,0.222653040662408,,-0.00050050975,0.538903195643798,
ANALOG,,,-0.00050048375,0.733668819069862,0.222653040662408,,-0.00050048375,0.538903195643798,
Channel 1,,,-0.00050045775,0.733668819069862,0.222653040662408,,-0.00050045775,0.538903195643798,
Scale,1 V/,,-0.00050043175,0.733668819069862,0.222653040662408,,-0.00050043175,0.538903195643798,
Pos,-2 V,,-0.00050040575,0.773869831115007,0.222653040662408,,-0.00050040575,0.578942262916826,
Coup,,,-0.00050037975,0.733668819069862,0.222653040662408,,-0.00050037975,0.538903195643798,
BW,Off,,-0.00050035375,0.733668819069862,0.222653040662408,,-0.00050035375,0.538903195643798,
Inv,Off,,-0.00050032775,0.773869831115007,0.230974648147821,,-0.00050032775,0.570153199369088,
Imp,1M Ohm,,-0.00050030175,0.733668819069862,0.230974648147821,,-0.00050030175,0.53011413209606,
Trace Label,1,,-0.00050027575,0.733668819069862,0.222653040662408,,-0.00050027575,0.538903195643798,
Probe,2,,-0.00050024975,0.733668819069862,0.222653040662408,,-0.00050024975,0.538903195643798,
Skew,0 s,,-0.00050022375,0.733668819069862,0.230974648147821,,-0.00050022375,0.53011413209606,
,,,-0.00050019775,0.773869831115007,0.222653040662408,,-0.00050019775,0.578942262916826,
Channel 2,,,-0.00050017175,0.733668819069862,0.222653040662408,,-0.00050017175,0.538903195643798,
Scale,207 mA/,,-0.00050014575,0.733668819069862,0.222653040662408,,-0.00050014575,0.538903195643798,
Pos,414.05 mA,,-0.00050011975,0.773869831115007,0.222653040662408,,-0.00050011975,0.578942262916826,
Coup,,,-0.00050009375,0.733668819069862,0.222653040662408,,-0.00050009375,0.538903195643798,
BW,Off,,-0.00050006775,0.773869831115007,0.222653040662408,,-0.00050006775,0.578942262916826,
Inv,Off,,-0.00050004175,0.773869831115007,0.230974648147821,,-0.00050004175,0.570153199369088,
Imp,1M Ohm,,-0.00050001575,0.733668819069862,0.222653040662408,,-0.00050001575,0.538903195643798,
Trace Label,2,,-0.00049998975,-0.351758506149054,0.164401788264513,,-0.00049998975,-0.487464114208706,
Probe,1.0351422,,-0.00049996375,-0.793969638645649,0.206009825691581,,-0.00049996375,-0.97086260933429,
Skew,0 s,,-0.00049993775,-0.793969638645649,0.247617863118649,,-0.00049993775,-1.01285480184015,
,,,-0.00049991175,-0.793969638645649,0.230974648147821,,-0.00049991175,-0.996253237361088,
MATH,,,-0.00049988575,-0.793969638645649,0.214331433176994,,-0.00049988575,-0.979651672882028,
Ch 1-Ch 2,,,-0.00049985975,-0.793969638645649,0.214331433176994,,-0.00049985975,-0.979651672882028,
Scale,500 m/,,-0.00049983375,-0.793969638645649,0.214331433176994,,-0.00049983375,-0.979651672882028,
Offset,-56.8 m,,-0.00049980775,-0.793969638645649,0.222653040662408,,-0.00049980775,-0.987464173813351,
,,,-0.00049978175,-0.793969638645649,0.222653040662408,,-0.00049978175,-0.987464173813351,
REFERENCE WAVEFORM,,,-0.00049975575,-0.793969638645649,0.222653040662408,,-0.00049975575,-0.987464173813351,
TRIGGER,,,-0.00049972975,-0.793969638645649,0.222653040662408,,-0.00049972975,-0.987464173813351,
Sweep Mode,NORM,,-0.00049970375,-0.793969638645649,0.222653040662408,,-0.00049970375,-0.987464173813351,
Coup,DC,,-0.00049967775,-0.793969638645649,0.222653040662408,,-0.00049967775,-0.987464173813351,
Noise Rej,Off,,-0.00049965175,-0.793969638645649,0.222653040662408,,-0.00049965175,-0.987464173813351,
HF Rej,Off,,-0.00049962575,-0.793969638645649,0.222653040662408,,-0.00049962575,-0.987464173813351,
Holdoff,40.0 ns,,-0.00049959975,-0.793969638645649,0.222653040662408,,-0.00049959975,-0.987464173813351,
Mode,EDGE,,-0.00049957375,-0.793969638645649,0.222653040662408,,-0.00049957375,-0.987464173813351,
Source,CHAN1,,-0.00049954775,-0.834170650690794,0.222653040662408,,-0.00049954775,-1.02750324108638,
Slope,POS,,-0.00049952175,-0.793969638645649,0.214331433176994,,-0.00049952175,-0.979651672882028,
Level,-25 mV V,,-0.00049949575,-0.793969638645649,0.222653040662408,,-0.00049949575,-0.987464173813351,
,,,-0.00049946975,-0.793969638645649,0.222653040662408,,-0.00049946975,-0.987464173813351,
HORIZONTAL,,,-0.00049944375,-0.793969638645649,0.222653040662408,,-0.00049944375,-0.987464173813351,
Mode,MAIN,,-0.00049941775,-0.793969638645649,0.222653040662408,,-0.00049941775,-0.987464173813351,
Ref,CENT,,-0.00049939175,-0.793969638645649,0.222653040662408,,-0.00049939175,-0.987464173813351,
Main Scale,2.6 µs/,,-0.00049936575,-0.793969638645649,0.214331433176994,,-0.00049936575,-0.979651672882028,
Main Delay,-487.75 µs,,-0.00049933975,-0.793969638645649,0.222653040662408,,-0.00049933975,-0.987464173813351,
,,,-0.00049931375,-0.793969638645649,0.222653040662408,,-0.00049931375,-0.987464173813351,
ACQUISITION,,,-0.00049928775,-0.793969638645649,0.222653040662408,,-0.00049928775,-0.987464173813351,
Mode,NORM,,-0.00049926175,-0.793969638645649,0.222653040662408,,-0.00049926175,-0.987464173813351,
RealTime,On,,-0.00049923575,-0.753768626600504,0.214331433176994,,-0.00049923575,-0.939612605609,
Vectors,On,,-0.00049920975,-0.793969638645649,0.222653040662408,,-0.00049920975,-0.987464173813351,
Persistence,Off,,-0.00049918375,-0.793969638645649,0.214331433176994,,-0.00049918375,-0.979651672882028,
,,,-0.00049915775,-0.793969638645649,0.222653040662408,,-0.00049915775,-0.987464173813351,
MEASUREMENTS,,,-0.00049913175,-0.793969638645649,0.214331433176994,,-0.00049913175,-0.979651672882028,
Pk-Pk(4),,,-0.00049910575,-0.793969638645649,0.214331433176994,,-0.00049910575,-0.979651672882028,
Cur,No signal,,-0.00049907975,-0.793969638645649,0.222653040662408,,-0.00049907975,-0.987464173813351,
,,,-0.00049905375,-0.793969638645649,0.222653040662408,,-0.00049905375,-0.987464173813351,
Pk-Pk(1),,,-0.00049902775,-0.753768626600504,0.222653040662408,,-0.00049902775,-0.947425106540322,
Cur,1.65 V,,-0.00049900175,-0.793969638645649,0.214331433176994,,-0.00049900175,-0.979651672882028,
,,,-0.00049897575,-0.793969638645649,0.222653040662408,,-0.00049897575,-0.987464173813351,
Pk-Pk(2),,,-0.00049894975,-0.793969638645649,0.222653040662408,,-0.00049894975,-0.987464173813351,
Cur,0.54 A,,-0.00049892375,-0.793969638645649,0.214331433176994,,-0.00049892375,-0.979651672882028,
,,,-0.00049889775,-0.753768626600504,0.222653040662408,,-0.00049889775,-0.947425106540322,
Pk-Pk(3),,,-0.00049887175,-0.793969638645649,0.222653040662408,,-0.00049887175,-0.987464173813351,
Cur,No signal,,-0.00049884575,-0.793969638645649,0.222653040662408,,-0.00049884575,-0.987464173813351,
,,,-0.00049881975,-0.793969638645649,0.214331433176994,,-0.00049881975,-0.979651672882028,
,,,-0.00049879375,-0.793969638645649,0.222653040662408,,-0.00049879375,-0.987464173813351,
,,,-0.00049876775,-0.793969638645649,0.222653040662408,,-0.00049876775,-0.987464173813351,
,,,-0.00049874175,-0.793969638645649,0.214331433176994,,-0.00049874175,-0.979651672882028,
,,,-0.00049871575,-0.793969638645649,0.214331433176994,,-0.00049871575,-0.979651672882028,
,,,-0.00049868975,-0.793969638645649,0.222653040662408,,-0.00049868975,-0.987464173813351,
,,,-0.00049866375,-0.793969638645649,0.214331433176994,,-0.00049866375,-0.979651672882028,
,,,-0.00049863775,-0.793969638645649,0.222653040662408,,-0.00049863775,-0.987464173813351,
,,,-0.00049861175,-0.793969638645649,0.214331433176994,,-0.00049861175,-0.979651672882028,
,,,-0.00049858575,-0.793969638645649,0.222653040662408,,-0.00049858575,-0.987464173813351,
,,,-0.00049855975,-0.793969638645649,0.222653040662408,,-0.00049855975,-0.987464173813351,
,,,-0.00049853375,-0.834170650690794,0.222653040662408,,-0.00049853375,-1.02750324108638,
,,,-0.00049850775,-0.793969638645649,0.222653040662408,,-0.00049850775,-0.987464173813351,
,,,-0.00049848175,-0.793969638645649,0.214331433176994,,-0.00049848175,-0.979651672882028,
,,,-0.00049845575,-0.793969638645649,0.222653040662408,,-0.00049845575,-0.987464173813351,
,,,-0.00049842975,-0.753768626600504,0.222653040662408,,-0.00049842975,-0.947425106540322,
,,,-0.00049840375,-0.793969638645649,0.214331433176994,,-0.00049840375,-0.979651672882028,
,,,-0.00049837775,-0.753768626600504,0.222653040662408,,-0.00049837775,-0.947425106540322,
,,,-0.00049835175,-0.793969638645649,0.222653040662408,,-0.00049835175,-0.987464173813351,
,,,-0.00049832575,-0.793969638645649,0.214331433176994,,-0.00049832575,-0.979651672882028,
,,,-0.00049829975,-0.793969638645649,0.222653040662408,,-0.00049829975,-0.987464173813351,
,,,-0.00049827375,-0.793969638645649,0.222653040662408,,-0.00049827375,-0.987464173813351,
,,,-0.00049824775,-0.793969638645649,0.222653040662408,,-0.00049824775,-0.987464173813351,
,,,-0.00049822175,-0.793969638645649,0.214331433176994,,-0.00049822175,-0.979651672882028,
,,,-0.00049819575,-0.793969638645649,0.214331433176994,,-0.00049819575,-0.979651672882028,
,,,-0.00049816975,-0.793969638645649,0.222653040662408,,-0.00049816975,-0.987464173813351,
,,,-0.00049814375,-0.793969638645649,0.214331433176994,,-0.00049814375,-0.979651672882028,
,,,-0.00049811775,-0.793969638645649,0.222653040662408,,-0.00049811775,-0.987464173813351,
,,,-0.00049809175,-0.793969638645649,0.214331433176994,,-0.00049809175,-0.979651672882028,
,,,-0.00049806575,-0.793969638645649,0.214331433176994,,-0.00049806575,-0.979651672882028,
,,,-0.00049803975,-0.793969638645649,0.222653040662408,,-0.00049803975,-0.987464173813351,
,,,-0.00049801375,-0.793969638645649,0.214331433176994,,-0.00049801375,-0.979651672882028,
,,,-0.00049798775,-0.793969638645649,0.214331433176994,,-0.00049798775,-0.979651672882028,
,,,-0.00049796175,-0.793969638645649,0.222653040662408,,-0.00049796175,-0.987464173813351,
,,,-0.00049793575,-0.793969638645649,0.222653040662408,,-0.00049793575,-0.987464173813351,
,,,-0.00049790975,-0.793969638645649,0.222653040662408,,-0.00049790975,-0.987464173813351,
,,,-0.00049788375,-0.793969638645649,0.214331433176994,,-0.00049788375,-0.979651672882028,
,,,-0.00049785775,-0.793969638645649,0.214331433176994,,-0.00049785775,-0.979651672882028,
,,,-0.00049783175,-0.753768626600504,0.214331433176994,,-0.00049783175,-0.939612605609,
,,,-0.00049780575,-0.793969638645649,0.214331433176994,,-0.00049780575,-0.979651672882028,
,,,-0.00049777975,-0.793969638645649,0.214331433176994,,-0.00049777975,-0.979651672882028,
,,,-0.00049775375,-0.793969638645649,0.222653040662408,,-0.00049775375,-0.987464173813351,
,,,-0.00049772775,-0.793969638645649,0.214331433176994,,-0.00049772775,-0.979651672882028,
,,,-0.00049770175,-0.753768626600504,0.222653040662408,,-0.00049770175,-0.947425106540322,
,,,-0.00049767575,-0.753768626600504,0.214331433176994,,-0.00049767575,-0.939612605609,
,,,-0.00049764975,-0.793969638645649,0.222653040662408,,-0.00049764975,-0.987464173813351,
,,,-0.00049762375,-0.793969638645649,0.222653040662408,,-0.00049762375,-0.987464173813351,
,,,-0.00049759775,-0.793969638645649,0.214331433176994,,-0.00049759775,-0.979651672882028,
,,,-0.00049757175,-0.793969638645649,0.222653040662408,,-0.00049757175,-0.987464173813351,
,,,-0.00049754575,-0.793969638645649,0.214331433176994,,-0.00049754575,-0.979651672882028,
,,,-0.00049751975,-0.753768626600504,0.222653040662408,,-0.00049751975,-0.947425106540322,
,,,-0.00049749375,-0.793969638645649,0.214331433176994,,-0.00049749375,-0.979651672882028,
,,,-0.00049746775,-0.793969638645649,0.214331433176994,,-0.00049746775,-0.979651672882028,
,,,-0.00049744175,-0.793969638645649,0.214331433176994,,-0.00049744175,-0.979651672882028,
,,,-0.00049741575,-0.793969638645649,0.214331433176994,,-0.00049741575,-0.979651672882028,
,,,-0.00049738975,-0.793969638645649,0.214331433176994,,-0.00049738975,-0.979651672882028,
,,,-0.00049736375,-0.793969638645649,0.214331433176994,,-0.00049736375,-0.979651672882028,
,,,-0.00049733775,-0.793969638645649,0.214331433176994,,-0.00049733775,-0.979651672882028,
,,,-0.00049731175,-0.793969638645649,0.214331433176994,,-0.00049731175,-0.979651672882028,
,,,-0.00049728575,-0.793969638645649,0.214331433176994,,-0.00049728575,-0.979651672882028,
,,,-0.00049725975,-0.793969638645649,0.214331433176994,,-0.00049725975,-0.979651672882028,
,,,-0.00049723375,-0.753768626600504,0.214331433176994,,-0.00049723375,-0.939612605609,
,,,-0.00049720775,-0.793969638645649,0.222653040662408,,-0.00049720775,-0.987464173813351,
,,,-0.00049718175,-0.793969638645649,0.214331433176994,,-0.00049718175,-0.979651672882028,
,,,-0.00049715575,-0.793969638645649,0.214331433176994,,-0.00049715575,-0.979651672882028,
,,,-0.00049712975,-0.793969638645649,0.222653040662408,,-0.00049712975,-0.987464173813351,
,,,-0.00049710375,-0.793969638645649,0.214331433176994,,-0.00049710375,-0.979651672882028,
,,,-0.00049707775,-0.793969638645649,0.214331433176994,,-0.00049707775,-0.979651672882028,
,,,-0.00049705175,-0.793969638645649,0.214331433176994,,-0.00049705175,-0.979651672882028,
,,,-0.00049702575,-0.793969638645649,0.214331433176994,,-0.00049702575,-0.979651672882028,
,,,-0.00049699975,-0.793969638645649,0.214331433176994,,-0.00049699975,-0.979651672882028,
,,,-0.00049697375,-0.753768626600504,0.214331433176994,,-0.00049697375,-0.939612605609,
,,,-0.00049694775,-0.793969638645649,0.214331433176994,,-0.00049694775,-0.979651672882028,
,,,-0.00049692175,-0.793969638645649,0.214331433176994,,-0.00049692175,-0.979651672882028,
,,,-0.00049689575,-0.793969638645649,0.222653040662408,,-0.00049689575,-0.987464173813351,
,,,-0.00049686975,-0.793969638645649,0.214331433176994,,-0.00049686975,-0.979651672882028,
,,,-0.00049684375,-0.753768626600504,0.214331433176994,,-0.00049684375,-0.939612605609,
,,,-0.00049681775,-0.793969638645649,0.214331433176994,,-0.00049681775,-0.979651672882028,
,,,-0.00049679175,-0.793969638645649,0.214331433176994,,-0.00049679175,-0.979651672882028,
,,,-0.00049676575,-0.793969638645649,0.214331433176994,,-0.00049676575,-0.979651672882028,
,,,-0.00049673975,-0.793969638645649,0.214331433176994,,-0.00049673975,-0.979651672882028,
,,,-0.00049671375,-0.793969638645649,0.214331433176994,,-0.00049671375,-0.979651672882028,
,,,-0.00049668775,-0.793969638645649,0.214331433176994,,-0.00049668775,-0.979651672882028,
,,,-0.00049666175,-0.793969638645649,0.214331433176994,,-0.00049666175,-0.979651672882028,
,,,-0.00049663575,-0.793969638645649,0.214331433176994,,-0.00049663575,-0.979651672882028,
,,,-0.00049660975,-0.793969638645649,0.214331433176994,,-0.00049660975,-0.979651672882028,
,,,-0.00049658375,-0.753768626600504,0.214331433176994,,-0.00049658375,-0.939612605609,
,,,-0.00049655775,-0.793969638645649,0.214331433176994,,-0.00049655775,-0.979651672882028,
,,,-0.00049653175,-0.793969638645649,0.214331433176994,,-0.00049653175,-0.979651672882028,
,,,-0.00049650575,-0.793969638645649,0.214331433176994,,-0.00049650575,-0.979651672882028,
,,,-0.00049647975,-0.793969638645649,0.214331433176994,,-0.00049647975,-0.979651672882028,
,,,-0.00049645375,-0.793969638645649,0.214331433176994,,-0.00049645375,-0.979651672882028,
,,,-0.00049642775,-0.753768626600504,0.214331433176994,,-0.00049642775,-0.939612605609,
,,,-0.00049640175,-0.793969638645649,0.214331433176994,,-0.00049640175,-0.979651672882028,
,,,-0.00049637575,-0.753768626600504,0.214331433176994,,-0.00049637575,-0.939612605609,
,,,-0.00049634975,-0.793969638645649,0.214331433176994,,-0.00049634975,-0.979651672882028,
,,,-0.00049632375,-0.793969638645649,0.214331433176994,,-0.00049632375,-0.979651672882028,
,,,-0.00049629775,-0.793969638645649,0.214331433176994,,-0.00049629775,-0.979651672882028,
,,,-0.00049627175,-0.793969638645649,0.214331433176994,,-0.00049627175,-0.979651672882028,
,,,-0.00049624575,-0.753768626600504,0.214331433176994,,-0.00049624575,-0.939612605609,
,,,-0.00049621975,-0.793969638645649,0.214331433176994,,-0.00049621975,-0.979651672882028,
,,,-0.00049619375,-0.793969638645649,0.214331433176994,,-0.00049619375,-0.979651672882028,
,,,-0.00049616775,-0.753768626600504,0.214331433176994,,-0.00049616775,-0.939612605609,
,,,-0.00049614175,-0.793969638645649,0.214331433176994,,-0.00049614175,-0.979651672882028,
,,,-0.00049611575,-0.793969638645649,0.214331433176994,,-0.00049611575,-0.979651672882028,
,,,-0.00049608975,-0.753768626600504,0.214331433176994,,-0.00049608975,-0.939612605609,
,,,-0.00049606375,-0.793969638645649,0.214331433176994,,-0.00049606375,-0.979651672882028,
,,,-0.00049603775,-0.793969638645649,0.214331433176994,,-0.00049603775,-0.979651672882028,
,,,-0.00049601175,-0.753768626600504,0.214331433176994,,-0.00049601175,-0.939612605609,
,,,-0.00049598575,-0.753768626600504,0.214331433176994,,-0.00049598575,-0.939612605609,
,,,-0.00049595975,-0.793969638645649,0.214331433176994,,-0.00049595975,-0.979651672882028,
,,,-0.00049593375,-0.753768626600504,0.214331433176994,,-0.00049593375,-0.939612605609,
,,,-0.00049590775,-0.793969638645649,0.214331433176994,,-0.00049590775,-0.979651672882028,
,,,-0.00049588175,-0.753768626600504,0.214331433176994,,-0.00049588175,-0.939612605609,
,,,-0.00049585575,-0.793969638645649,0.214331433176994,,-0.00049585575,-0.979651672882028,
,,,-0.00049582975,-0.793969638645649,0.214331433176994,,-0.00049582975,-0.979651672882028,
,,,-0.00049580375,-0.793969638645649,0.214331433176994,,-0.00049580375,-0.979651672882028,
,,,-0.00049577775,-0.793969638645649,0.214331433176994,,-0.00049577775,-0.979651672882028,
,,,-0.00049575175,-0.793969638645649,0.206009825691581,,-0.00049575175,-0.97086260933429,
,,,-0.00049572575,-0.753768626600504,0.214331433176994,,-0.00049572575,-0.939612605609,
,,,-0.00049569975,-0.793969638645649,0.206009825691581,,-0.00049569975,-0.97086260933429,
,,,-0.00049567375,-0.753768626600504,0.214331433176994,,-0.00049567375,-0.939612605609,
,,,-0.00049564775,-0.753768626600504,0.214331433176994,,-0.00049564775,-0.939612605609,
,,,-0.00049562175,-0.793969638645649,0.214331433176994,,-0.00049562175,-0.979651672882028,
,,,-0.00049559575,-0.793969638645649,0.206009825691581,,-0.00049559575,-0.97086260933429,
,,,-0.00049556975,-0.793969638645649,0.214331433176994,,-0.00049556975,-0.979651672882028,
,,,-0.00049554375,-0.793969638645649,0.214331433176994,,-0.00049554375,-0.979651672882028,
,,,-0.00049551775,-0.793969638645649,0.206009825691581,,-0.00049551775,-0.97086260933429,
,,,-0.00049549175,-0.793969638645649,0.214331433176994,,-0.00049549175,-0.979651672882028,
,,,-0.00049546575,-0.793969638645649,0.206009825691581,,-0.00049546575,-0.97086260933429,
,,,-0.00049543975,-0.793969638645649,0.214331433176994,,-0.00049543975,-0.979651672882028,
,,,-0.00049541375,-0.753768626600504,0.214331433176994,,-0.00049541375,-0.939612605609,
,,,-0.00049538775,-0.753768626600504,0.214331433176994,,-0.00049538775,-0.939612605609,
,,,-0.00049536175,-0.793969638645649,0.214331433176994,,-0.00049536175,-0.979651672882028,
,,,-0.00049533575,-0.753768626600504,0.214331433176994,,-0.00049533575,-0.939612605609,
,,,-0.00049530975,-0.793969638645649,0.214331433176994,,-0.00049530975,-0.979651672882028,
,,,-0.00049528375,-0.753768626600504,0.214331433176994,,-0.00049528375,-0.939612605609,
,,,-0.00049525775,-0.793969638645649,0.206009825691581,,-0.00049525775,-0.97086260933429,
,,,-0.00049523175,-0.793969638645649,0.214331433176994,,-0.00049523175,-0.979651672882028,
,,,-0.00049520575,-0.793969638645649,0.206009825691581,,-0.00049520575,-0.97086260933429,
,,,-0.00049517975,-0.753768626600504,0.206009825691581,,-0.00049517975,-0.930823542061262,
,,,-0.00049515375,-0.753768626600504,0.214331433176994,,-0.00049515375,-0.939612605609,
,,,-0.00049512775,-0.793969638645649,0.206009825691581,,-0.00049512775,-0.97086260933429,
,,,-0.00049510175,-0.753768626600504,0.206009825691581,,-0.00049510175,-0.930823542061262,
,,,-0.00049507575,-0.793969638645649,0.206009825691581,,-0.00049507575,-0.97086260933429,
,,,-0.00049504975,-0.793969638645649,0.206009825691581,,-0.00049504975,-0.97086260933429,
,,,-0.00049502375,-0.753768626600504,0.206009825691581,,-0.00049502375,-0.930823542061262,
,,,-0.00049499775,-0.793969638645649,0.206009825691581,,-0.00049499775,-0.97086260933429,
,,,-0.00049497175,-0.753768626600504,0.206009825691581,,-0.00049497175,-0.930823542061262,
,,,-0.00049494575,-0.753768626600504,0.206009825691581,,-0.00049494575,-0.930823542061262,
,,,-0.00049491975,-0.753768626600504,0.206009825691581,,-0.00049491975,-0.930823542061262,
,,,-0.00049489375,-0.793969638645649,0.206009825691581,,-0.00049489375,-0.97086260933429,
,,,-0.00049486775,-0.793969638645649,0.206009825691581,,-0.00049486775,-0.97086260933429,
,,,-0.00049484175,-0.793969638645649,0.206009825691581,,-0.00049484175,-0.97086260933429,
,,,-0.00049481575,-0.793969638645649,0.197688218206167,,-0.00049481575,-0.963050108402967,
,,,-0.00049478975,-0.753768626600504,0.206009825691581,,-0.00049478975,-0.930823542061262,
,,,-0.00049476375,-0.834170650690794,0.206009825691581,,-0.00049476375,-1.01090167660732,
,,,-0.00049473775,-0.793969638645649,0.206009825691581,,-0.00049473775,-0.97086260933429,
,,,-0.00049471175,-0.793969638645649,0.197688218206167,,-0.00049471175,-0.963050108402967,
,,,-0.00049468575,-0.793969638645649,0.197688218206167,,-0.00049468575,-0.963050108402967,
,,,-0.00049465975,-0.793969638645649,0.197688218206167,,-0.00049465975,-0.963050108402967,
,,,-0.00049463375,-0.793969638645649,0.197688218206167,,-0.00049463375,-0.963050108402967,
,,,-0.00049460775,-0.793969638645649,0.197688218206167,,-0.00049460775,-0.963050108402967,
,,,-0.00049458175,-0.793969638645649,0.189366610720754,,-0.00049458175,-0.95426104485523,
,,,-0.00049455575,-0.793969638645649,0.189366610720754,,-0.00049455575,-0.95426104485523,
,,,-0.00049452975,-0.753768626600504,0.189366610720754,,-0.00049452975,-0.914221977582201,
,,,-0.00049450375,-0.793969638645649,0.18104500323534,,-0.00049450375,-0.946448543923907,
,,,-0.00049447775,-0.793969638645649,0.189366610720754,,-0.00049447775,-0.95426104485523,
,,,-0.00049445175,-0.753768626600504,0.18104500323534,,-0.00049445175,-0.906409476650879,
,,,-0.00049442575,-0.793969638645649,0.18104500323534,,-0.00049442575,-0.946448543923907,
,,,-0.00049439975,-0.793969638645649,0.18104500323534,,-0.00049439975,-0.946448543923907,
